item_id,task,candidate,label
t01-c01,t01-run-length-encoding,c01,correct
t01-c02,t01-run-length-encoding,c02,correct
t01-c03,t01-run-length-encoding,c03,incorrect
t01-c04,t01-run-length-encoding,c04,incorrect
t02-c01,t02-int-to-roman,c01,incorrect
t02-c02,t02-int-to-roman,c02,incorrect
t02-c03,t02-int-to-roman,c03,correct
t02-c04,t02-int-to-roman,c04,correct
t03-c01,t03-balanced-brackets,c01,incorrect
t03-c02,t03-balanced-brackets,c02,correct
t03-c03,t03-balanced-brackets,c03,incorrect
t03-c04,t03-balanced-brackets,c04,correct
t04-c01,t04-merge-intervals,c01,correct
t04-c02,t04-merge-intervals,c02,incorrect
t04-c03,t04-merge-intervals,c03,incorrect
t04-c04,t04-merge-intervals,c04,correct
t05-c01,t05-top-k-words,c01,incorrect
t05-c02,t05-top-k-words,c02,incorrect
t05-c03,t05-top-k-words,c03,correct
t05-c04,t05-top-k-words,c04,correct
t06-c01,t06-isbn10-validation,c01,correct
t06-c02,t06-isbn10-validation,c02,incorrect
t06-c03,t06-isbn10-validation,c03,incorrect
t06-c04,t06-isbn10-validation,c04,correct
